language,uni_lemma,lexical_category,category,definition,word_clean,aoa,concreteness,frequency
English (American),a,function_words,quantifiers,a,a,26.75657271813926,1.46,301773
English (American),a,function_words,quantifiers,an,an,26.75657271813926,1.46,13508
English (American),a lot,function_words,quantifiers,a lot,a lot,29.354943884668234,2.37,4807
English (American),about,function_words,locations,about,about,33.56541793707104,1.77,27478
English (American),above,function_words,locations,above,above,32.94888134846138,3.33,332
English (American),airplane,nouns,vehicles,airplane,airplane,20.14529714809586,4.96,1192
English (American),all,function_words,quantifiers,all,all,26.31156607337898,2.27,49585
English (American),all gone,predicates,descriptive_words,all gone,all gone,19.106125409049845,2.04,779
English (American),alligator,nouns,animals,alligator,alligator,25.74050182260553,4.96,404
English (American),am,predicates,helping_predicates,am,am,29.39866638780256,1.96,4070
English (American),and,function_words,connecting_words,and,and,27.669136574125037,1.52,217485
English (American),animal,nouns,animals,animal,animal,24.531890826243654,4.61,1523
English (American),ankle,nouns,body_parts,ankle,ankle,29.54373992549591,4.81,75
English (American),another,function_words,quantifiers,another,another,28.49498165323644,2.69,14222
English (American),ant,nouns,animals,ant,ant,24.632024173206105,4.86,182
English (American),any,function_words,quantifiers,any,any,30.168894359149128,1.72,12098
English (American),apple,nouns,food_drink,apple,apple,18.316415297779947,5,3736
English (American),applesauce,nouns,food_drink,applesauce,applesauce,25.18708208845118,4.96,127
English (American),are,function_words,helping_predicates,are,are,30.400848330016352,1.96,106583
English (American),arm,nouns,body_parts,arm,arm,21.679117916792883,4.96,1528
English (American),around,function_words,locations,around,around,29.73724069586142,1.96,6835
English (American),asleep,predicates,descriptive_words,asleep,asleep,24.95132838125333,3.71,1365
English (American),at,function_words,locations,at,at,28.44395214386389,2.07,52573
English (American),awake,predicates,descriptive_words,awake,awake,26.406667306484906,3.32,362
English (American),away,function_words,locations,away,away,27.268694284819865,2.23,11014
English (American),back (location),function_words,locations,back,back,26.041013448918488,4.33,26533
English (American),bad,predicates,descriptive_words,bad,bad,24.376033345405514,1.68,2576
English (American),ball,nouns,toys,ball,ball,14.051831559140178,5,8382
English (American),balloon,nouns,toys,balloon,balloon,17.252991342080126,4.92,1810
English (American),banana,nouns,food_drink,banana,banana,16.787250784202772,5,1615
English (American),basement,nouns,furniture_rooms,basement,basement,31.403406659378565,4.89,121
English (American),basket,nouns,household,basket,basket,25.32137110090939,5,1734
English (American),bat,nouns,toys,bat,bat,25.94740000625428,5,384
English (American),bathroom,nouns,furniture_rooms,bathroom,bathroom,23.22834292081228,4.52,1059
English (American),bathtub,nouns,furniture_rooms,bathtub,bathtub,21.86077443068652,4.92,410
English (American),be,function_words,helping_predicates,be,be,30.344096265123305,1.85,41097
English (American),beach,nouns,outside,beach,beach,26.078273320304067,4.79,991
English (American),beads,nouns,clothing,beads,beads,29.819752587655973,4.9,546
English (American),beans,nouns,food_drink,beans,beans,24.532090787380607,5,1249
English (American),bear,nouns,animals,bear,bear,19.290426322598368,4.88,5220
English (American),because,function_words,connecting_words,because,because,30.412366644638137,1.22,31730
English (American),bed,nouns,furniture_rooms,bed,bed,20.494046155718603,5,7584
English (American),bedroom,nouns,furniture_rooms,bedroom,bedroom,25.645644681903754,4.9,1119
English (American),bee,nouns,animals,bee,bee,21.306296871726428,4.88,1475
English (American),behind,function_words,locations,behind,behind,29.581051780523048,3.48,2954
English (American),belly button,nouns,body_parts,belly button,belly button,20.62619109370771,5,90
